PLAYER,TEAM,POSITION,Bats,PA,AVG,OBP,SLG,OPS,1B,1B%,2B,2B%,3B,3B%,HR,HR%,R,RBI,SB,CS,SB%,BB,BB%,K,K%,HBP,OUT%,,
Dansby Swanson,Atlanta Braves,SS,R,545,0.251,0.325,0.422,0.748,121,0.222,26,0.048,3,0.006,17,0.031,77,65,10,5,0.667,51,0.094,124,0.228,5,0.372,,
Austin Riley,Atlanta Braves,LF,R,297,0.226,0.279,0.471,0.750,62,0.209,11,0.037,1,0.003,18,0.061,41,49,0,2,0.000,16,0.054,108,0.364,5,0.273,,
Ronald Acuna,Atlanta Braves,CF,R,715,0.280,0.365,0.518,0.883,175,0.245,22,0.031,2,0.003,41,0.057,127,101,37,9,0.804,76,0.106,188,0.263,9,0.295,,
Nick Markakis,Atlanta Braves,RF,L,469,0.285,0.356,0.420,0.776,118,0.252,25,0.053,2,0.004,9,0.019,61,62,2,0,1.000,47,0.100,59,0.126,2,0.446,,
Tyler Flowers,Atlanta Braves,DH,R,310,0.229,0.319,0.413,0.733,62,0.200,11,0.035,3,0.010,11,0.035,36,34,0,0,NA,31,0.100,105,0.339,6,0.281,,
Pedro Severino,Baltimore Orioles,C,R,341,0.249,0.321,0.420,0.740,76,0.223,13,0.038,0,0,13,0.038,37,44,3,1,0.750,29,0.085,73,0.214,4,0.402,,
Chris Davis,Baltimore Orioles,1B,L,352,0.179,0.276,0.326,0.601,55,0.156,9,0.026,0,0,12,0.034,26,36,0,0,NA,39,0.111,139,0.395,3,0.278,,
Jonathan Villar,Baltimore Orioles,2B,S,714,0.274,0.339,0.453,0.792,176,0.246,33,0.046,5,0.007,24,0.034,111,73,40,9,0.816,61,0.085,176,0.246,4,0.335,,
Rio Ruiz,Baltimore Orioles,3B,L,413,0.232,0.306,0.376,0.682,86,0.208,13,0.031,2,0.005,12,0.029,35,46,0,1,0.000,40,0.097,88,0.213,0,0.416,,
Richie Martin,Baltimore Orioles,SS,R,309,0.208,0.260,0.322,0.581,59,0.191,8,0.026,3,0.010,6,0.019,29,23,10,1,0.909,14,0.045,83,0.269,6,0.440,,
Dwight Smith Jr.,Baltimore Orioles,LF,L,392,0.241,0.297,0.412,0.708,86,0.219,16,0.041,3,0.008,13,0.033,46,53,5,1,0.833,26,0.066,82,0.209,4,0.423,,
Stevie Wilkerson,Baltimore Orioles,CF,S,361,0.225,0.286,0.383,0.669,74,0.205,18,0.050,2,0.006,10,0.028,41,35,3,3,0.500,22,0.061,108,0.299,7,0.352,,
Trey Mancini,Baltimore Orioles,RF,R,679,0.291,0.364,0.535,0.899,175,0.258,38,0.056,2,0.003,35,0.052,106,97,1,0,1.000,63,0.093,143,0.211,9,0.328,,
Renato Nunez,Baltimore Orioles,DH,R,599,0.244,0.311,0.460,0.771,132,0.220,24,0.040,0,0,31,0.052,72,90,1,1,0.500,44,0.073,143,0.239,10,0.376,,
Christian Vazquez,Boston Red Sox,C,R,521,0.276,0.320,0.477,0.798,133,0.255,26,0.050,1,0.002,23,0.044,66,72,4,2,0.667,33,0.063,101,0.194,0,0.392,,
Mitch Moreland,Boston Red Sox,1B,L,335,0.252,0.328,0.507,0.835,75,0.224,17,0.051,1,0.003,19,0.057,48,58,1,0,1.000,34,0.101,74,0.221,1,0.343,,
Brock Holt,Boston Red Sox,2B,L,295,0.297,0.369,0.402,0.771,77,0.261,14,0.047,2,0.007,3,0.010,38,31,1,0,1.000,28,0.095,57,0.193,4,0.386,,
Rafael Devers,Boston Red Sox,3B,L,702,0.311,0.361,0.555,0.916,201,0.286,54,0.077,4,0.006,32,0.046,129,115,8,8,0.500,48,0.068,119,0.170,4,0.348,,
Xander Bogaerts,Boston Red Sox,SS,R,698,0.309,0.384,0.555,0.939,190,0.272,52,0.074,0,0,33,0.047,110,117,4,2,0.667,76,0.109,122,0.175,2,0.322,,
Andrew Benintendi,Boston Red Sox,LF,L,615,0.266,0.343,0.431,0.774,144,0.234,40,0.065,5,0.008,13,0.021,72,68,10,3,0.769,59,0.096,140,0.228,7,0.348,,
Jackie Bradley Jr.,Boston Red Sox,CF,L,567,0.225,0.317,0.421,0.738,111,0.196,28,0.049,3,0.005,21,0.037,69,62,8,6,0.571,56,0.099,155,0.273,12,0.340,,
Mookie Betts,Boston Red Sox,RF,R,706,0.295,0.391,0.524,0.915,176,0.249,40,0.057,5,0.007,29,0.041,135,80,16,3,0.842,97,0.137,101,0.143,3,0.365,,
J.D. Martinez,Boston Red Sox,DH,R,657,0.304,0.383,0.557,0.939,175,0.266,33,0.050,2,0.003,36,0.055,98,105,2,0,1.000,72,0.110,138,0.210,4,0.306,,
Willson Contreras,Chicago Cubs,C,R,409,0.272,0.355,0.533,0.888,98,0.240,18,0.044,2,0.005,24,0.059,57,64,1,2,0.333,38,0.093,102,0.249,9,0.311,,
Anthony Rizzo,Chicago Cubs,1B,L,613,0.293,0.405,0.520,0.924,150,0.245,29,0.047,3,0.005,27,0.044,89,94,5,2,0.714,71,0.116,86,0.140,27,0.403,,
David Bote,Chicago Cubs,2B,R,356,0.257,0.362,0.422,0.785,78,0.219,17,0.048,0,0,11,0.031,47,41,5,1,0.833,44,0.124,93,0.261,7,0.317,,
